2015-12-15 05:48:02 configure policykit-1:armhf 0.105-8ubuntu2 <none>
2015-12-15 05:48:02 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status unpacked policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status half-configured policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status triggers-awaited policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 trigproc dbus:armhf 1.8.12-1ubuntu5 <none>
2015-12-15 05:48:02 status half-configured dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:02 status installed policykit-1:armhf 0.105-8ubuntu2
2015-12-15 05:48:02 status installed dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:02 status installed dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:02 configure network-manager:armhf 0.9.10.0-4ubuntu15 <none>
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status triggers-pending dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status triggers-pending ureadahead:armhf 0.100.0-19
2015-12-15 05:48:02 status triggers-pending systemd:armhf 219-7ubuntu3
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status triggers-pending ureadahead:armhf 0.100.0-19
2015-12-15 05:48:02 status unpacked network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:02 status half-configured network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:03 status triggers-awaited network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:03 trigproc libc-bin:armhf 2.21-0ubuntu4 <none>
2015-12-15 05:48:03 status half-configured libc-bin:armhf 2.21-0ubuntu4
2015-12-15 05:48:03 status installed libc-bin:armhf 2.21-0ubuntu4
2015-12-15 05:48:03 trigproc dbus:armhf 1.8.12-1ubuntu5 <none>
2015-12-15 05:48:03 status half-configured dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:03 status installed network-manager:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:03 status installed dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:03 trigproc ureadahead:armhf 0.100.0-19 <none>
2015-12-15 05:48:03 status half-configured ureadahead:armhf 0.100.0-19
2015-12-15 05:48:03 status installed ureadahead:armhf 0.100.0-19
2015-12-15 05:48:03 trigproc systemd:armhf 219-7ubuntu3 <none>
2015-12-15 05:48:03 status half-configured systemd:armhf 219-7ubuntu3
2015-12-15 05:48:03 status installed systemd:armhf 219-7ubuntu3
2015-12-15 05:48:03 startup packages configure
